name,city,country,iata,icao,x,y,elevation
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,145.391998291,-6.081689834590001,5282
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,145.789001465,-5.20707988739,20
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,144.29600524902344,-5.826789855957031,5388
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,146.725977,-6.569803,239
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,147.22000122070312,-9.443380355834961,146
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,143.669006348,-3.58383011818,19
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,-45.4259986877,61.1604995728,112
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,-51.6781005859,64.19090271,283
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,-50.7116031647,67.0122218992,165
Thule Air Base,Thule,Greenland,THU,BGTL,-68.7032012939,76.5311965942,251
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,-18.07270050048828,65.66000366210938,6
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,-14.401399612426758,65.2833023071289,76
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,-15.2272,64.295601,24
Húsavík Airport,Husavik,Iceland,HZK,BIHU,-17.426001,65.952301,48
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,-23.135299682617188,66.05809783935547,8
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,-22.605600357056,63.985000610352,171
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,-23.965,65.555801,11
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,-21.9405994415,64.1299972534,48
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,-18.9167,66.133301,10
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,-20.278900146484375,63.42430114746094,326
